Sparte,Jahr,Monat,Beschaeftigte,Veraederungen zum Vorjahr
Beherbergung,2020,Januar,"100,3","0,3"
Beherbergung,2020,Februar,"99,7","0,2"
Beherbergung,2020,Maerz,"96,3","-5,0"
Beherbergung,2020,April,"80,3","-22,3"
Beherbergung,2020,Mai,"81,7","-22,0"
Beherbergung,2020,Juni,"86,8","-17,2"
Beherbergung,2020,Juli,"90,4","-14,6"
Beherbergung,2020,August,"92,5","-13,3"
Beherbergung,2020,September,"92,7","-12,8"
Beherbergung,2020,Oktober,...,...
Beherbergung,2020,November,...,...
Beherbergung,2020,Dezember,...,...
"Hotels, Gasthoefe und Pensionen",2020,Januar,"101,0","0,1"
"Hotels, Gasthoefe und Pensionen",2020,Februar,"100,4","0,2"
"Hotels, Gasthoefe und Pensionen",2020,Maerz,"96,4","-5,3"
"Hotels, Gasthoefe und Pensionen",2020,April,"79,8","-22,7"
"Hotels, Gasthoefe und Pensionen",2020,Mai,"81,0","-22,3"
"Hotels, Gasthoefe und Pensionen",2020,Juni,"85,8","-17,6"
"Hotels, Gasthoefe und Pensionen",2020,Juli,"89,2","-15,2"
"Hotels, Gasthoefe und Pensionen",2020,August,"91,3","-13,9"
"Hotels, Gasthoefe und Pensionen",2020,September,"91,7","-13,5"
"Hotels, Gasthoefe und Pensionen",2020,Oktober,...,...
"Hotels, Gasthoefe und Pensionen",2020,November,...,...
"Hotels, Gasthoefe und Pensionen",2020,Dezember,...,...
Ferienunterkuenfte,2020,Januar,"93,1","3,3"
Ferienunterkuenfte,2020,Februar,"92,3","0,9"
Ferienunterkuenfte,2020,Maerz,"93,6","-2,6"
Ferienunterkuenfte,2020,April,"80,2","-20,4"
Ferienunterkuenfte,2020,Mai,"81,0","-21,1"
Ferienunterkuenfte,2020,Juni,"88,5","-15,1"
Ferienunterkuenfte,2020,Juli,"93,2","-11,7"
Ferienunterkuenfte,2020,August,"94,9","-10,5"
Ferienunterkuenfte,2020,September,"93,6","-9,8"
Ferienunterkuenfte,2020,Oktober,...,...
Ferienunterkuenfte,2020,November,...,...
Ferienunterkuenfte,2020,Dezember,...,...
Campingplaetze,2020,Januar,"89,4","1,5"
Campingplaetze,2020,Februar,"87,5","-1,2"
Campingplaetze,2020,Maerz,"91,6","-5,0"
Campingplaetze,2020,April,"91,2","-23,4"
Campingplaetze,2020,Mai,"110,6","-13,6"
Campingplaetze,2020,Juni,"124,6","-10,8"
Campingplaetze,2020,Juli,"137,1","-5,7"
Campingplaetze,2020,August,"138,4","-5,3"
Campingplaetze,2020,September,"132,9","0,5"
Campingplaetze,2020,Oktober,...,...
Campingplaetze,2020,November,...,...
Campingplaetze,2020,Dezember,...,...
Gastronomie,2020,Januar,"100,7","1,9"
Gastronomie,2020,Februar,"101,5","1,7"
Gastronomie,2020,Maerz,"95,8","-5,8"
Gastronomie,2020,April,"78,5","-24,9"
Gastronomie,2020,Mai,"82,7","-22,2"
Gastronomie,2020,Juni,"86,9","-19,3"
Gastronomie,2020,Juli,"90,4","-16,3"
Gastronomie,2020,August,"92,1","-15,3"
Gastronomie,2020,September,"92,8","-14,5"
Gastronomie,2020,Oktober,...,...
Gastronomie,2020,November,...,...
Gastronomie,2020,Dezember,...,...
Caterer und sonstige Verpflegungsdienstleistungen,2020,Januar,"106,3","1,8"
Caterer und sonstige Verpflegungsdienstleistungen,2020,Februar,"107,2","1,3"
Caterer und sonstige Verpflegungsdienstleistungen,2020,Maerz,"103,6","-2,4"
Caterer und sonstige Verpflegungsdienstleistungen,2020,April,"94,7","-11,4"
Caterer und sonstige Verpflegungsdienstleistungen,2020,Mai,"94,2","-13,1"
Caterer und sonstige Verpflegungsdienstleistungen,2020,Juni,"93,5","-13,8"
Caterer und sonstige Verpflegungsdienstleistungen,2020,Juli,"92,8","-14,2"
Caterer und sonstige Verpflegungsdienstleistungen,2020,August,"94,3","-14,0"
Caterer und sonstige Verpflegungsdienstleistungen,2020,September,"93,9","-14,9"
Caterer und sonstige Verpflegungsdienstleistungen,2020,Oktober,...,...
Caterer und sonstige Verpflegungsdienstleistungen,2020,November,...,...
Caterer und sonstige Verpflegungsdienstleistungen,2020,Dezember,...,...
Ausschank von Getraenken,2020,Januar,"93,4","-0,4"
Ausschank von Getraenken,2020,Februar,"94,9","1,8"
Ausschank von Getraenken,2020,Maerz,"83,0","-12,6"
Ausschank von Getraenken,2020,April,"70,8","-27,0"
Ausschank von Getraenken,2020,Mai,"56,7","-43,4"
Ausschank von Getraenken,2020,Juni,"61,2","-37,5"
Ausschank von Getraenken,2020,Juli,"64,6","-34,9"
Ausschank von Getraenken,2020,August,"65,3","-34,2"
Ausschank von Getraenken,2020,September,"66,5","-33,8"
Ausschank von Getraenken,2020,Oktober,...,...
Ausschank von Getraenken,2020,November,...,...
Ausschank von Getraenken,2020,Dezember,...,...