Sparte,Monat,Umsatz,Veraederung zum Vorjahr
Beherbergung,Januar,80.9,-1.2
Beherbergung,Februar,85.7,2.9
Beherbergung,März,49.5,-49.8
Beherbergung,April,13.3,-86.9
Beherbergung,Mai,23.6,-78.9
Beherbergung,Juni,56.3,-51.5
Beherbergung,Juli,81.7,-28.9
Beherbergung,August,91.1,-20.7
Beherbergung,September,89.3,-27.3
Beherbergung,Oktober,...,...
Beherbergung,November,...,...
Beherbergung,Dezember,...,...
"Hotels, Gasthöfe und Pensionen",Januar,81.7,-1.3
"Hotels, Gasthöfe und Pensionen",Februar,87.6,3.2
"Hotels, Gasthöfe und Pensionen",März,49.5,-50.7
"Hotels, Gasthöfe und Pensionen",April,11.5,-88.6
"Hotels, Gasthöfe und Pensionen",Mai,21.3,-81.1
"Hotels, Gasthöfe und Pensionen",Juni,52.9,-53.8
"Hotels, Gasthöfe und Pensionen",Juli,77.3,-30.8
"Hotels, Gasthöfe und Pensionen",August,87,-22.3
"Hotels, Gasthöfe und Pensionen",September,87.6,-29
"Hotels, Gasthöfe und Pensionen",Oktober,...,...
"Hotels, Gasthöfe und Pensionen",November,...,...
"Hotels, Gasthöfe und Pensionen",Dezember,...,...
Ferienunterkünfte u. ähnliche Beherbergungsstätten,Januar,58.1,-0.5
Ferienunterkünfte u. ähnliche Beherbergungsstätten,Februar,65.1,1.4
Ferienunterkünfte u. ähnliche Beherbergungsstätten,März,41.4,-42.9
Ferienunterkünfte u. ähnliche Beherbergungsstätten,April,15.6,-84.1
Ferienunterkünfte u. ähnliche Beherbergungsstätten,Mai,32.4,-68.5
Ferienunterkünfte u. ähnliche Beherbergungsstätten,Juni,72.3,-41.3
Ferienunterkünfte u. ähnliche Beherbergungsstätten,Juli,109.4,-19.6
Ferienunterkünfte u. ähnliche Beherbergungsstätten,August,114.4,-14.2
Ferienunterkünfte u. ähnliche Beherbergungsstätten,September,97,-17.4
Ferienunterkünfte u. ähnliche Beherbergungsstätten,Oktober,...,...
Ferienunterkünfte u. ähnliche Beherbergungsstätten,November,...,...
Ferienunterkünfte u. ähnliche Beherbergungsstätten,Dezember,...,...
Campingplätze,Januar,110.7,-2.9
Campingplätze,Februar,62.7,0.8
Campingplätze,März,62.4,-39.1
Campingplätze,April,69,-49.3
Campingplätze,Mai,78.8,-25.9
Campingplätze,Juni,154.5,-4.7
Campingplätze,Juli,189.8,0.1
Campingplätze,August,207.6,8.1
Campingplätze,September,146.7,21.4
Campingplätze,Oktober,...,...
Campingplätze,November,...,...
Campingplätze,Dezember,...,...
Gastronomie,Januar,90.9,3.3
Gastronomie,Februar,91.2,1.3
Gastronomie,März,57.7,-42.5
Gastronomie,April,32.3,-68.1
Gastronomie,Mai,49.5,-54.2
Gastronomie,Juni,71,-35.1
Gastronomie,Juli,86,-22.2
Gastronomie,August,88.5,-20.8
Gastronomie,September,85.7,-21.3
Gastronomie,Oktober,...,...
Gastronomie,November,...,...
Gastronomie,Dezember,...,...
"Restaurants, Gaststajetten, Imbissstuben, Cafes",Januar,90.7,4.5
"Restaurants, Gaststajetten, Imbissstuben, Cafes",Februar,90.5,1.9
"Restaurants, Gaststajetten, Imbissstuben, Cafes",März,54,-46
"Restaurants, Gaststajetten, Imbissstuben, Cafes",April,29.7,-71.1
"Restaurants, Gaststajetten, Imbissstuben, Cafes",Mai,51.8,-52.4
"Restaurants, Gaststajetten, Imbissstuben, Cafes",Juni,77.5,-30.4
"Restaurants, Gaststajetten, Imbissstuben, Cafes",Juli,96.5,-15.1
"Restaurants, Gaststajetten, Imbissstuben, Cafes",August,98.1,-15.3
"Restaurants, Gaststajetten, Imbissstuben, Cafes",September,91.9,-15.1
"Restaurants, Gaststajetten, Imbissstuben, Cafes",Oktober,...,...
"Restaurants, Gaststajetten, Imbissstuben, Cafes",November,...,...
"Restaurants, Gaststajetten, Imbissstuben, Cafes",Dezember,...,...
Caterer und sonstige Verpflegungsdienstleistungen,Januar,95.7,-0.6
Caterer und sonstige Verpflegungsdienstleistungen,Februar,96.5,-1.3
Caterer und sonstige Verpflegungsdienstleistungen,März,75.6,-27.9
Caterer und sonstige Verpflegungsdienstleistungen,April,47,-52.7
Caterer und sonstige Verpflegungsdienstleistungen,Mai,51.1,-53.2
Caterer und sonstige Verpflegungsdienstleistungen,Juni,58.7,-45.1
Caterer und sonstige Verpflegungsdienstleistungen,Juli,62.2,-40.3
Caterer und sonstige Verpflegungsdienstleistungen,August,67.8,-33.3
Caterer und sonstige Verpflegungsdienstleistungen,September,76.5,-33.5
Caterer und sonstige Verpflegungsdienstleistungen,Oktober,...,...
Caterer und sonstige Verpflegungsdienstleistungen,November,...,...
Caterer und sonstige Verpflegungsdienstleistungen,Dezember,...,...
Ausschank von Getraenken,Januar,80.6,4.1
Ausschank von Getraenken,Februar,83.3,3.3
Ausschank von Getraenken,März,43.1,-53.2
Ausschank von Getraenken,April,15.8,-83.3
Ausschank von Getraenken,Mai,24.9,-74.4
Ausschank von Getraenken,Juni,46.5,-52.8
Ausschank von Getraenken,Juli,57.4,-42.1
Ausschank von Getraenken,August,59.7,-43.1
Ausschank von Getraenken,September,55.5,-44.3
Ausschank von Getraenken,Oktober,...,...
Ausschank von Getraenken,November,...,...
Ausschank von Getraenken,Dezember,...,...
Gaststaettengewerbe,Januar,89.6,4.4
Gaststaettengewerbe,Februar,89.7,2
Gaststaettengewerbe,März,52.8,-46.7
Gaststaettengewerbe,April,28.2,-72.3
Gaststaettengewerbe,Mai,49,-54.5
Gaststaettengewerbe,Juni,74.3,-32.5
Gaststaettengewerbe,Juli,92.4,-17.6
Gaststaettengewerbe,August,94.1,-17.9
Gaststaettengewerbe,September,88.1,-17.8
Gaststaettengewerbe,Oktober,...,...
Gaststaettengewerbe,November,...,...
Gaststaettengewerbe,Dezember,...,...
Gastgewerbe,Januar,87.3,1.6
Gastgewerbe,Februar,89.2,1.8
Gastgewerbe,März,54.7,-45.1
Gastgewerbe,April,25.4,-74.9
Gastgewerbe,Mai,40.1,-63.4
Gastgewerbe,Juni,65.7,-41.2
Gastgewerbe,Juli,84.4,-24.7
Gastgewerbe,August,89.5,-20.8
Gastgewerbe,September,87,-23.7
Gastgewerbe,Oktober,...,...
Gastgewerbe,November,...,...
Gastgewerbe,Dezember,...,...
